algorithm,solver,time
counting,pyo3,0.006875361001220881
counting,pyo3,0.005204043000048841
counting,pyo3,0.005150118999154074
counting,pyo3,0.004930110999339377
counting,pyo3,0.005055014999015839
counting,pyo3,0.004834370000025956
counting,pyo3,0.0048147329998755595
counting,pyo3,0.005039478999606217
counting,pyo3,0.0049270449999312405
counting,pyo3,0.005079647999082226
counting,naive,0.009094708000702667
counting,naive,0.009216813999955775
counting,naive,0.009107648000281188
counting,naive,0.009295828000176698
counting,naive,0.009225302001141245
counting,naive,0.009263153999199858
counting,naive,0.009250584000255913
counting,naive,0.009232936999978847
counting,naive,0.00893497099968954
counting,naive,0.008893333000742132
average_win_rate,pyo3,0.005162987999938196
average_win_rate,pyo3,0.005016049999539973
average_win_rate,pyo3,0.0049611690010351595
average_win_rate,pyo3,0.004952190000039991
average_win_rate,pyo3,0.004995280000002822
average_win_rate,pyo3,0.004976274000000558
average_win_rate,pyo3,0.00487582499954442
average_win_rate,pyo3,0.004842217000259552
average_win_rate,pyo3,0.004915758001516224
average_win_rate,pyo3,0.004940922999594477
average_win_rate,naive,0.0056375940002908465
average_win_rate,naive,0.0056304649988305755
average_win_rate,naive,0.0067451510003593285
average_win_rate,naive,0.005464813999424223
average_win_rate,naive,0.0059818110003106995
average_win_rate,naive,0.005634520999592496
average_win_rate,naive,0.0056934169988380745
average_win_rate,naive,0.006093824000345194
average_win_rate,naive,0.005781127998488955
average_win_rate,naive,0.0062054570007603616
bradley_terry,pyo3,0.0053178769994701724
bradley_terry,pyo3,0.005525047999981325
bradley_terry,pyo3,0.005011375000322005
bradley_terry,pyo3,0.005122900998685509
bradley_terry,pyo3,0.005099248999613337
bradley_terry,pyo3,0.0050138889982918045
bradley_terry,pyo3,0.005214843999056029
bradley_terry,pyo3,0.005149094000444165
bradley_terry,pyo3,0.005218072999923606
bradley_terry,pyo3,0.005254742998658912
bradley_terry,naive,0.012066170998878079
bradley_terry,naive,0.011944162999498076
bradley_terry,naive,0.011667112999930396
bradley_terry,naive,0.011669860999973025
bradley_terry,naive,0.011628184000073816
bradley_terry,naive,0.011669400000755559
bradley_terry,naive,0.01161658199998783
bradley_terry,naive,0.011653039000520948
bradley_terry,naive,0.011644427000646829
bradley_terry,naive,0.011589874000492273
elo,pyo3,0.005369069000153104
elo,pyo3,0.00532382100027462
elo,pyo3,0.005319439000231796
elo,pyo3,0.005307326000547619
elo,pyo3,0.005343168000763399
elo,pyo3,0.005356769001082284
elo,pyo3,0.005366054001569864
elo,pyo3,0.005641824000122142
elo,pyo3,0.005391536000388442
elo,pyo3,0.005369290000089677
elo,naive,0.49616283500108693
elo,naive,0.4852133749991481
elo,naive,0.47851063500093005
elo,naive,0.48006601499946555
elo,naive,0.4753923959997337
elo,naive,0.4769150800002535
elo,naive,0.4766232599995419
elo,naive,0.47964533800040954
elo,naive,0.49262491800072894
elo,naive,0.48891441200066765
eigen,pyo3,0.005105121999804396
eigen,pyo3,0.004977573998985463
eigen,pyo3,0.005370251999920583
eigen,pyo3,0.005091636001452571
eigen,pyo3,0.004964488000041456
eigen,pyo3,0.005006197001421242
eigen,pyo3,0.005002247999073006
eigen,pyo3,0.004940893999446416
eigen,pyo3,0.004896967999229673
eigen,pyo3,0.004950393000399345
eigen,naive,0.007578472999739461
eigen,naive,0.0068903650007996475
eigen,naive,0.006166182000015397
eigen,naive,0.005998622998959036
eigen,naive,0.006027541001458303
eigen,naive,0.006044929999916349
eigen,naive,0.006003292999594123
eigen,naive,0.006016929000907112
eigen,naive,0.006057766000594711
eigen,naive,0.005994141001792741
pagerank,pyo3,0.005109638999783783
pagerank,pyo3,0.004911364998406498
pagerank,pyo3,0.005008294001527247
pagerank,pyo3,0.004950368998834165
pagerank,pyo3,0.005036065000240342
pagerank,pyo3,0.004928320999169955
pagerank,pyo3,0.004861629000515677
pagerank,pyo3,0.004890345000603702
pagerank,pyo3,0.004856256000493886
pagerank,pyo3,0.004860412998823449
pagerank,naive,0.005966113998510991
pagerank,naive,0.005886898999960977
pagerank,naive,0.006147760001113056
pagerank,naive,0.005819226000312483
pagerank,naive,0.0057333940003445605
pagerank,naive,0.005826475999128888
pagerank,naive,0.006016974999511149
pagerank,naive,0.006921724998392165
pagerank,naive,0.006082464000428445
pagerank,naive,0.006042460001481231
newman,pyo3,0.0063594679995730985
newman,pyo3,0.00596360400049889
newman,pyo3,0.005977647999316105
newman,pyo3,0.0058701870002551
newman,pyo3,0.00590245500097808
newman,pyo3,0.006189169000208494
newman,pyo3,0.005855299999893759
newman,pyo3,0.0060658649999822956
newman,pyo3,0.006033386998751666
newman,pyo3,0.006011262999891187
newman,naive,0.009793019000426284
newman,naive,0.009593479999239207
newman,naive,0.009580083999026101
newman,naive,0.009858966999672703
newman,naive,0.009588980999978958
newman,naive,0.009542887999486993
newman,naive,0.009545767001327476
newman,naive,0.00950388599994767
newman,naive,0.009521482999844011
newman,naive,0.009310036999522708
