algorithm,item,score
bradley_terry,Tacos,0.43418094009077435
bradley_terry,Sushi,0.1906547104329681
bradley_terry,Burger,0.148015517354248
bradley_terry,Pasta,0.128158185402126
bradley_terry,Pizza,0.09899064671988368
counting,Tacos,10.0
counting,Sushi,6.5
counting,Burger,6.0
counting,Pasta,4.0
counting,Pizza,3.5
eigen,Burger,0.5285337049443668
eigen,Pizza,0.5053087904169825
eigen,Sushi,0.4548697924168709
eigen,Pasta,0.43994838306559647
eigen,Tacos,0.2546645661447763
elo,Tacos,1013.3587771887543
elo,Sushi,1002.0980590208538
elo,Burger,998.0260933346951
elo,Pasta,994.1913058814378
elo,Pizza,992.325764574259
newman,Tacos,2.483862364579935
newman,Sushi,1.1764418814044404
newman,Burger,0.8655555603330117
newman,Pasta,0.723053250350096
newman,Pizza,0.5226425935705397
pagerank,Burger,0.2430625169005946
pagerank,Sushi,0.22804541608628803
pagerank,Pizza,0.19991178696535025
pagerank,Pasta,0.19358745367713603
pagerank,Tacos,0.13539282637063096
